t=1, n=42, m=4, rp=0 ---------> 0
t=0, n=43, m=4, rp=0 ---------> 1.04784e-309
t=1, n=43, m=4, rp=0 ---------> 0
t=0, n=44, m=4, rp=0 ---------> -9.62982e+09
t=1, n=44, m=4, rp=0 ---------> 2.53634e+10
t=0, n=45, m=4, rp=0 ---------> -2.81623e+10
t=1, n=45, m=4, rp=0 ---------> -6.97556e+10
t=0, n=0, m=5, rp=0 ---------> 1.04784e-309
t=1, n=0, m=5, rp=0 ---------> 0
t=0, n=1, m=5, rp=0 ---------> 1.04784e-309
t=1, n=1, m=5, rp=0 ---------> 0
t=0, n=2, m=5, rp=0 ---------> 1.04784e-309
t=1, n=2, m=5, rp=0 ---------> 0
t=0, n=3, m=5, rp=0 ---------> 1.04784e-309
t=1, n=3, m=5, rp=0 ---------> 0
t=0, n=4, m=5, rp=0 ---------> 1.04784e-309
t=1, n=4, m=5, rp=0 ---------> 0
t=0, n=5, m=5, rp=0 ---------> 1.04784e-309
t=1, n=5, m=5, rp=0 ---------> 0
t=0, n=6, m=5, rp=0 ---------> 1.04784e-309
t=1, n=6, m=5, rp=0 ---------> 0
t=0, n=7, m=5, rp=0 ---------> 1.04784e-309
t=1, n=7, m=5, rp=0 ---------> 0
t=0, n=8, m=5, rp=0 ---------> 1.04784e-309
t=1, n=8, m=5, rp=0 ---------> 0
t=0, n=9, m=5, rp=0 ---------> 1.04784e-309
t=1, n=9, m=5, rp=0 ---------> 0
t=0, n=10, m=5, rp=0 ---------> 1.04784e-309
t=1, n=10, m=5, rp=0 ---------> 0
t=0, n=11, m=5, rp=0 ---------> 1.04784e-309
t=1, n=11, m=5, rp=0 ---------> 0
t=0, n=12, m=5, rp=0 ---------> 1.04784e-309
t=1, n=12, m=5, rp=0 ---------> 0
t=0, n=13, m=5, rp=0 ---------> 1.04784e-309
t=1, n=13, m=5, rp=0 ---------> 0
t=0, n=14, m=5, rp=0 ---------> 1.04784e-309
t=1, n=14, m=5, rp=0 ---------> 0
t=0, n=15, m=5, rp=0 ---------> 1.04784e-309
t=1, n=15, m=5, rp=0 ---------> 0
t=0, n=16, m=5, rp=0 ---------> 1.04784e-309
t=1, n=16, m=5, rp=0 ---------> 0
t=0, n=17, m=5, rp=0 ---------> 1.04784e-309
t=1, n=17, m=5, rp=0 ---------> 0
t=0, n=18, m=5, rp=0 ---------> 1.04784e-309
t=1, n=18, m=5, rp=0 ---------> 0
t=0, n=19, m=5, rp=0 ---------> 1.04784e-309
t=1, n=19, m=5, rp=0 ---------> 0
t=0, n=20, m=5, rp=0 ---------> 1.04784e-309
t=1, n=20, m=5, rp=0 ---------> 0
t=0, n=21, m=5, rp=0 ---------> 1.04784e-309
t=1, n=21, m=5, rp=0 ---------> 0
t=0, n=22, m=5, rp=0 ---------> 0
t=1, n=22, m=5, rp=0 ---------> 0
t=0, n=23, m=5, rp=0 ---------> 1.04784e-309
t=1, n=23, m=5, rp=0 ---------> 0
t=0, n=24, m=5, rp=0 ---------> 1.04784e-309
t=1, n=24, m=5, rp=0 ---------> 0
t=0, n=25, m=5, rp=0 ---------> 1.04784e-309
t=1, n=25, m=5, rp=0 ---------> 0
t=0, n=26, m=5, rp=0 ---------> 1.04784e-309
t=1, n=26, m=5, rp=0 ---------> 0
t=0, n=27, m=5, rp=0 ---------> 1.04784e-309
t=1, n=27, m=5, rp=0 ---------> 0
t=0, n=28, m=5, rp=0 ---------> 1.04784e-309
