t=0, n=26, m=4, rp=0 ---------> -6.01596e+11
t=1, n=26, m=4, rp=0 ---------> 7.67932e+11
t=0, n=27, m=4, rp=0 ---------> -5.16166e+11
t=1, n=27, m=4, rp=0 ---------> 3.90061e+11
t=0, n=28, m=4, rp=0 ---------> -3.32686e+11
t=1, n=28, m=4, rp=0 ---------> 1.86833e+12
t=0, n=29, m=4, rp=0 ---------> -1.3794e+12
t=1, n=29, m=4, rp=0 ---------> 2.53965e+11
t=0, n=30, m=4, rp=0 ---------> -3.82635e+11
t=1, n=30, m=4, rp=0 ---------> 1.62168e+12
t=0, n=31, m=4, rp=0 ---------> -3.08312e+11
t=1, n=31, m=4, rp=0 ---------> 1.16959e+12
t=0, n=32, m=4, rp=0 ---------> -2.39809e+11
t=1, n=32, m=4, rp=0 ---------> 1.65869e+12
t=0, n=33, m=4, rp=0 ---------> -3.20238e+11
t=1, n=33, m=4, rp=0 ---------> -1.6895e+11
t=0, n=34, m=4, rp=0 ---------> -9.49686e+11
t=1, n=34, m=4, rp=0 ---------> 3.39114e+11
t=0, n=35, m=4, rp=0 ---------> -2.28809e+11
t=1, n=35, m=4, rp=0 ---------> 4.00213e+11
t=0, n=36, m=4, rp=0 ---------> -6.75712e+10
t=1, n=36, m=4, rp=0 ---------> 9.2789e+11
t=0, n=37, m=4, rp=0 ---------> -5.05031e+11
t=1, n=37, m=4, rp=0 ---------> 1.57116e+12
t=0, n=38, m=4, rp=0 ---------> 2.86017e+10
t=1, n=38, m=4, rp=0 ---------> 1.12417e+12
t=0, n=39, m=4, rp=0 ---------> -5.84277e+11
t=1, n=39, m=4, rp=0 ---------> 5.11639e+11
t=0, n=40, m=4, rp=0 ---------> -3.71676e+10
t=1, n=40, m=4, rp=0 ---------> 8.08439e+11
t=0, n=41, m=4, rp=0 ---------> -4.34368e+11
t=1, n=41, m=4, rp=0 ---------> 9.86965e+11
t=0, n=42, m=4, rp=0 ---------> -9.54831e+11
t=1, n=42, m=4, rp=0 ---------> 1.02993e+12
t=0, n=43, m=4, rp=0 ---------> -1.76102e+11
t=1, n=43, m=4, rp=0 ---------> 9.42935e+11
t=0, n=44, m=4, rp=0 ---------> -4.83725e+10
t=1, n=44, m=4, rp=0 ---------> 2.53634e+10
t=0, n=45, m=4, rp=0 ---------> -2.81623e+10
t=1, n=45, m=4, rp=0 ---------> -6.97556e+10
t=0, n=0, m=5, rp=0 ---------> 49380
t=1, n=0, m=5, rp=0 ---------> 49380
t=0, n=1, m=5, rp=0 ---------> 49380
t=1, n=1, m=5, rp=0 ---------> 49380
t=0, n=2, m=5, rp=0 ---------> 49380
t=1, n=2, m=5, rp=0 ---------> 49380
t=0, n=3, m=5, rp=0 ---------> -4.78604e+11
t=1, n=3, m=5, rp=0 ---------> 2.89028e+11
